title;summary
Абай-Су;Абай-Су (карач.-балк. Абай суу — в переводе «водопад Абая») — водопад на левом притоке реки Башиль-Аузусу (верховье Чегема) в Кабардино-Балкарии, Россия. Высота составляет 78 метров. Высота непрерывного падения — 72 метра. Назван именем охотника Абая, известного своей меткостью. Одна из главных достопримечательностей Кабардино-Балкарии.
Агурские водопады;"Агу́рские водопа́ды — каскад водопадов на реке Агура в Хостинском районе города Сочи. Расстояние от берега Чёрного моря — 4 км.
Территория водопадов включена в состав ООПТ Агурские-водопады 26 января 1988 года."
Ажек ;Аже́к (убыхск. же (аже) — снег, к (куа) — сын) — водопад, расположенный на реке Ажек при впадении её в реку Сочи в Хостинском районе города Сочи Краснодарского края в России. Водопад находится на территории Сочинского национального парка, в 6,5 километрах от села Ореховка.
Акака;"Акака (англ. Akaka Falls) — самый высокий водопад Гавайских островов, расположенный на острове Гавайи. На языке гавайцев Akaka означает «разделение, трещина».
Вода низвергается с отвесной скалы вулканического происхождения, высотой 135 метров (442 фута).
Водопад расположен в 18 км на север от города Хило в Национальном Парке. Доступные области парка находятся на правом верхнем уступе глубокого ущелья, в которое падает водопад, видный с нескольких точек вдоль замкнутой дорожки, проходящей через парк."
Алекшупитский водопад;"Алекшупитский водопад (латыш. Alekšupītes ūdenskritums) — водопад в Латвии на реке Алекшупите. Находится в городе Кулдига Кулдигского края. Высота — 4,15 м, ширина — 8 м, расход — 2 м³/с.
Является самым высоким водопадом в Курземе, вторым по высоте в стране. Над водопадом расположен мост, а также мельничная плотина.
Считается, что он был построен в XIII веке вместе с замком. В XVII веке он был укреплён[неизвестный термин] для того, чтобы вращалось колесо, которое приводило в действие первую в Курземе бумажную[неизвестный термин] мельницу."
Алибекский водопад;"Алибе́кский водопа́д — один из самых больших и эффектных водопадов в Домбае, в западной (верхней) части Алибекского ущелья на юге Карачаево-Черкесии (Россия). Также имеет название Алибе́к. Высота водопада составляет более 25 метров. Водопад образуется падением речки Джаловчатки с Алибекского ледника; камни, с которых падает вода, называют «бараньими лбами».
Алибекский водопад появился в XX веке. Ещё в 1930-е годы водопада не было, а скальчатый уступ был накрыт языком Алибекского ледника, который каждый год отступает вверх на метр-полтора.
Популярный объект пешеходного туризма. Находится на территории Тебердинского заповедника. Ближайшие населённые пункты: альплагерь Алибек (1,6 км по тропе), посёлок Домбай (6,5 км по дороге)."
Альдейярфосс;"Альдейярфосс (исл. Aldeyjarfoss) — водопад, расположенный на севере Исландии в регионе Нордюрланд-Эйстра в северной части дороги около зандра Спренгисандур в пределах Исландского плато.
Наиболее интересной особенностью водопада является контраст между черными базальтовыми колоннами и белыми водами. В этом отношении он похож на водопад Свартифосс.
Воды реки Скьяульвандафльоут падают здесь с высоты 20 м. Окружающий базальт принадлежит лавовому полю, называемому Фрамбруни (исл. Frambruni) или Сюдюраурхрёйн (исл. Suðurárhraun). Слово hraun в переводе с исландского означает лава."
Андриановские водопады;"Андриановские водопады — каскад водопадов в южной части полуострова Камчатка.
Находится к западу от города Петропавловска-Камчатского до которого 194 км по прямой.
Расположен на центральном истоке стекающей с восточного склона Срединного хребта р. Средней Андриановки. Река образует каскад из 5-6 крупных и множества мелких водопадов с общим падением около 100—125 м.
Популярный туристический объект."
Анхель;А́нхель, Керепакупаи-Меру (исп. Kerepakupai Meru, исп. Salto Ángel, на пемонском языке — Kerepakupai vena, что значит «Водопад глубочайшего места») — самый высокий водопад в мире, общая высота 979 метров (по другим данным 1054 метра), высота непрерывного свободного падения воды 807 метров. Находится на реке Кереп в венесуэльском штате Боливар.
Водопад Арсеньева;"Водопад Арсеньева (Призрак, Восьмиметровый) — водопад в Тернейском районе Приморского края Российской Федерации. Находится на р. Правая Амгу, в её среднем течении. Водопад Арсеньева — один из самых полноводных в Приморье. Ширина потока воды в верхней части водопада ок. 3 м. В нижней части струя воды сжимается до 2 м, с грохотом падая в глубокий котёл, белый от пены. Далее, на протяжении нескольких десятков метров, река течёт в каньоне с нависающими стенами. Каньон оканчивается невысоким сливом поперёк всего русла.
Из всех водопадов, которые мне приходилось видеть, Амагинский водопад был самым красивым. Представьте себе узкий коридор, верхние края которого немного загнуты внутрь так, что вода идёт как бы в трубе. В одном месте труба эта обрывается.
Здесь образовался водопад высотой 8 метров. Однако верхние края коридора продолжаются и далее. Из этого можно заключить, что первоначально водопад был ниже по течению, и если бы удалось определить, сколько вода стирает ложе водопада в течение года, то можно было бы сказать, когда он начал свою работу, сколько ему лет и сколько ещё осталось существовать на свете. Порода, сквозь которую вода пробила себе дорогу, — буро-красный глауконитовый песчаник с весьма плотным цементом. Цвет воды в массе изумрудный. При ярком солнечном освещении белая пена с зеленовато-синим цветом воды и с красно-бурыми скалами, по которым разрослись пёстрые лишайники и светло-зелёные мхи, создавала картину чрезвычайно эффектную. Под водопадом вода имеет вращательное движение. В течение многих лет она сточила породу по сторонам и образовала «исполиновый котёл». Я подошёл к краю обрыва, и мне показалось, что от массы падающей воды порой содрогается земля.
Водопад Арсеньева — популярный туристический объект, но посещается он реже, чем вдп. Большой Амгинский. Если последний находится в 1 км от ближайшей автодороги, то до вдп. Арсеньева нужно пройти 7 — 8 км по таёжной тропе через многочисленные броды."
